id,name,city,country,3code,4code,latitude,longitude,altitude,timezone,dst,dob
6358,Enshi Airport,Enshi,China,ENH,ZHES,30.3203,109.485,0,8.0,U,9
6359,Nanyang Airport,Nanyang,China,NNY,ZHNY,32.9808,112.615,0,8.0,U,16
6360,Xiangfan Airport,Xiangfan,China,XFN,ZHXF,32.1506,112.291,0,8.0,U,26
6361,Yichang Airport,Yichang,China,YIH,ZHYC,30.671,111.441,0,8.0,U,46
6362,Ankang Airport,Ankang,China,AKA,ZLAK,32.7081,108.931,0,8.0,U,0
6363,Golmud Airport,Golmud,China,GOQ,ZLGM,34.633,98.867,0,8.0,U,4
6364,Hanzhong Airport,Hanzhong,China,HZG,ZLHZ,33.0636,107.008,0,8.0,U,0
6365,Qingyang Airport,Qingyang,China,IQN,ZLQY,35.7997,107.603,0,8.0,U,17
6366,Xining Caojiabu Airport,Xining,China,XNN,ZLXN,36.5275,102.043,0,8.0,U,99
6367,Yan'an Airport,Yan'an,China,ENY,ZLYA,36.6369,109.554,0,8.0,U,11
6368,Yulin Airport,Yulin,China,UYN,ZLYL,38.2692,109.731,0,8.0,U,24
6375,Diqing Airport,Shangri-La,China,DIG,ZPDQ,27.7936,99.6772,0,8.0,U,14
6376,Mangshi Airport,Luxi,China,LUM,ZPLX,24.4011,98.5317,2890,8.0,U,12
6377,Simao Airport,Simao,China,SYM,ZPSM,22.7933,100.959,0,8.0,U,6
6378,Zhaotong Airport,Zhaotong,China,ZAT,ZPZT,27.3256,103.755,0,8.0,U,6
6379,Ganzhou Airport,Ganzhou,China,KOW,ZSGZ,25.8258,114.912,0,8.0,U,26
6380,Jingdezhen Airport,Jingdezhen,China,JDZ,ZSJD,29.3386,117.176,112,8.0,U,32
6381,Jiujiang Lushan Airport,Jiujiang,China,JIU,ZSJJ,29.733,115.983,0,8.0,U,12
6382,Quzhou Airport,Quzhou,China,JUZ,ZSJU,28.9658,118.899,0,8.0,U,12
6383,Lianyungang Airport,Lianyungang,China,LYG,ZSLG,34.55,119.25,0,8.0,U,30
6384,Huangyan Luqiao Airport,Huangyan,China,HYN,ZSLQ,28.5622,121.429,0,8.0,U,28
6385,Shubuling Airport,Linyi,China,LYI,ZSLY,35.0461,118.412,0,8.0,U,36
6386,Quanzhou Airport,Quanzhou,China,JJN,ZSQZ,24.7964,118.59,0,8.0,U,79
6387,Tunxi International Airport,Huangshan,China,TXN,ZSTX,29.7333,118.256,0,8.0,U,44
6388,Weifang Airport,Weifang,China,WEF,ZSWF,36.6467,119.119,0,8.0,U,14
6389,Weihai Airport,Weihai,China,WEH,ZSWH,37.1871,122.229,145,8.0,U,0
6390,Wuxi Airport,Wuxi,China,WUX,ZSWX,31.4944,120.429,0,8.0,U,76
6391,Nanping Wuyishan Airport,Wuyishan,China,WUS,ZSWY,27.7019,118.001,614,8.0,U,28
6392,Wenzhou Yongqiang Airport,Wenzhou,China,WNZ,ZSWZ,27.9122,120.852,0,8.0,U,149
6393,Yancheng Airport,Yancheng,China,YNZ,ZSYN,33.3856,120.125,0,8.0,U,26
6394,Yiwu Airport,Yiwu,China,YIW,ZSYW,29.3447,120.032,0,8.0,U,36
